X,Y,Z,R,G,B,intensity,ping_no
-258.8380737,100.8913803,-8.62679386,0,133,121,-510,21
-258.6538696,101.351593,-8.50697422,0,189,65,-510,21
-258.4771423,101.7928772,-8.38581276,0,245,9,-510,21
-258.2965088,102.242981,-8.24247646,56,255,0,-510,21
-258.1233826,102.6740036,-8.09844398,124,255,0,-510,21
-258.0377808,102.8906784,-8.1020174,122,255,0,-510,21
-257.9577942,103.0934448,-8.11329842,117,255,0,-510,21
-257.8730469,103.3075562,-8.1076355,119,255,0,-510,21
-257.7938538,103.5078888,-8.11005402,118,255,0,-510,21
-257.722229,103.6892319,-8.11404037,116,255,0,-510,21
-257.6509399,103.8695221,-8.1143961,116,255,0,-510,21
-257.5800171,104.0487213,-8.11114597,118,255,0,-510,21
-257.509491,104.2267609,-8.10431862,121,255,0,-510,21
-257.4460144,104.3871918,-8.10191441,122,255,0,-510,21
-257.38797,104.5343323,-8.10918045,118,255,0,-510,21
-257.3251038,104.6929169,-8.10096645,122,255,0,-510,21
-257.2676086,104.8383865,-8.10276413,121,255,0,-510,21
-257.2115784,104.979866,-8.09860516,124,255,0,-510,21
-257.1604614,105.1095047,-8.10603333,120,255,0,-510,21
-257.1049805,105.249382,-8.09708881,124,255,0,-510,21
-257.0543213,105.3776169,-8.10000801,123,255,0,-510,21
-256.986084,105.5475388,-8.04315186,149,255,0,-510,21
-256.9231873,105.7044449,-7.99701977,171,255,0,-510,21
-256.8608398,105.8598175,-7.94813204,193,255,0,-510,21
-256.7990723,106.0136108,-7.89651489,217,255,0,-510,21
-256.7615051,106.1092682,-7.91083717,210,255,0,-510,21
-256.7237244,106.2054291,-7.9244504,204,255,0,-510,21
-256.6863403,106.3005219,-7.9360075,199,255,0,-510,21
-256.6487427,106.3960877,-7.9468441,194,255,0,-510,21
-256.6078186,106.4993134,-7.93980503,197,255,0,-510,21
-256.5713501,106.5917511,-7.94594955,195,255,0,-510,21
-256.5307922,106.6938782,-7.93599367,199,255,0,-510,21
-256.4946594,106.7854538,-7.93945646,198,255,0,-510,21
-256.4553833,106.8841019,-7.92488289,204,255,0,-510,21
-256.4160461,106.9828491,-7.90948343,211,255,0,-510,21
-256.3772583,107.0801392,-7.89212227,219,255,0,-510,21
-256.3424072,107.168129,-7.88924456,221,255,0,-510,21
-256.3082886,107.2541428,-7.88411188,223,255,0,-510,21
-256.274353,107.3396988,-7.87784243,226,255,0,-510,21
-256.2405701,107.4247971,-7.87044668,229,255,0,-510,21
-256.2069397,107.509407,-7.86193323,234,255,0,-510,21
-256.1628723,107.6181107,-7.80404329,255,249,0,-510,21
-256.1190186,107.7262726,-7.74505806,255,222,0,-510,21
-256.0759277,107.8323593,-7.68404245,255,193,0,-510,21
-256.0330811,107.9378433,-7.62194443,255,164,0,-510,21
-256.0053711,108.0078735,-7.62184,255,164,0,-510,21
-255.9777832,108.0776138,-7.62090731,255,164,0,-510,21
-255.9502869,108.1470795,-7.61915255,255,163,0,-510,21
-255.9228821,108.2162476,-7.61658001,255,162,0,-510,21
-255.8994751,108.2760315,-7.62880039,255,167,0,-510,21
-255.8757782,108.3365021,-7.64078331,255,173,0,-510,21
-255.8523865,108.3961945,-7.6517415,255,178,0,-510,21
-255.8318634,108.4493561,-7.67906189,255,191,0,-510,21
-255.8118286,108.5012512,-7.7051425,255,203,0,-510,21
-255.7914124,108.5540924,-7.73110962,255,215,0,-510,21
-255.7711945,108.6063843,-7.7562294,255,227,0,-510,21
-255.7506104,108.6596298,-7.78121758,255,238,0,-510,21
-255.7247162,108.7246552,-7.77115726,255,234,0,-510,21
-255.7014923,108.7836685,-7.77771568,255,237,0,-510,21
-255.6757965,108.8481293,-7.76629353,255,231,0,-510,21
-255.6526794,108.9068222,-7.77160072,255,234,0,-510,21
-255.6271973,108.9706726,-7.75883579,255,228,0,-510,21
-255.6018524,109.0341492,-7.74538136,255,222,0,-510,21
-255.5766296,109.0972443,-7.73124599,255,215,0,-510,21
-255.5515595,109.1599503,-7.71643305,255,208,0,-510,21
-255.5297089,109.2153091,-7.71778011,255,209,0,-510,21
-255.5075836,109.271286,-7.7188592,255,209,0,-510,21
-255.4858093,109.3263779,-7.71913052,255,210,0,-510,21
-255.4661102,109.3770142,-7.73664665,255,217,0,-510,21
-255.4420776,109.4369049,-7.71832943,255,209,0,-510,21
-255.4201508,109.4923248,-7.71724749,255,208,0,-510,21
-255.3963776,109.5515137,-7.69774199,255,199,0,-510,21
-255.3746033,109.6064987,-7.69555187,255,198,0,-510,21
-255.3534546,109.6598358,-7.69239664,255,197,0,-510,21
-255.3340759,109.7094955,-7.70672512,255,204,0,-510,21
-255.3129883,109.7626343,-7.70260143,255,201,0,-510,21
-255.2935791,109.8123627,-7.71602678,255,208,0,-510,21
-255.2725525,109.8652954,-7.71094036,255,205,0,-510,21
-255.2530975,109.9150772,-7.72346306,255,211,0,-510,21
-255.232132,109.9677887,-7.71741962,255,208,0,-510,21
-255.2126465,110.0176086,-7.7290411,255,214,0,-510,21
-255.1937103,110.0660248,-7.73989677,255,219,0,-510,21
-255.1744385,110.1152573,-7.75049782,255,224,0,-510,21
-255.155426,110.163826,-7.76052141,255,228,0,-510,21
-255.1360779,110.2132034,-7.77027512,255,233,0,-510,21
-255.1141205,110.2674637,-7.74322176,255,220,0,-510,21
-255.092041,110.321991,-7.71578646,255,207,0,-510,21
-255.0704498,110.3752899,-7.68770885,255,195,0,-510,21
-255.0487366,110.4288483,-7.65924931,255,181,0,-510,21
-255.029953,110.4767151,-7.66659451,255,185,0,-510,21
-255.010849,110.5253677,-7.67363644,255,188,0,-510,21
-254.9920044,110.5733261,-7.68015957,255,191,0,-510,21
-254.9728394,110.6220703,-7.68636417,255,194,0,-510,21
-254.9529419,110.671814,-7.67377949,255,188,0,-510,21
-254.934082,110.7197571,-7.67905331,255,191,0,-510,21
-254.9151917,110.767746,-7.683918,255,193,0,-510,21
-254.896286,110.8157578,-7.68837357,255,195,0,-510,21
-254.877655,110.8630676,-7.6923604,255,197,0,-510,21
-254.8587189,110.9111404,-7.69600248,255,198,0,-510,21
-254.8400421,110.9584885,-7.69918823,255,200,0,-510,21
-254.8210754,111.0066071,-7.70201731,255,201,0,-510,21
-254.8014984,111.0553436,-7.68606663,255,194,0,-510,21
-254.7825623,111.1033554,-7.68806839,255,195,0,-510,21
-254.7631226,111.1517181,-7.67128181,255,187,0,-510,21
-254.7442017,111.1996079,-7.67246103,255,188,0,-510,21
-254.7252808,111.2475052,-7.67323208,255,188,0,-510,21
-254.7063446,111.2953949,-7.67359447,255,188,0,-510,21
-254.6874085,111.3432922,-7.67354774,255,188,0,-510,21
-254.6686707,111.3915176,-7.69147825,255,196,0,-510,21
-254.6496735,111.4395371,-7.69061232,255,196,0,-510,21
-254.6309509,111.4868088,-7.68935966,255,195,0,-510,21
-254.6119385,111.5348053,-7.68768024,255,195,0,-510,21
-254.5932159,111.5820465,-7.68562794,255,194,0,-510,21
-254.5742188,111.6300049,-7.68313646,255,192,0,-510,21
-254.5552063,111.6779404,-7.68023586,255,191,0,-510,21
-254.5361939,111.725853,-7.67692661,255,189,0,-510,21
-254.5171967,111.7737351,-7.67320824,255,188,0,-510,21
-254.4978943,111.822319,-7.66901445,255,186,0,-510,21
-254.4789124,111.8701401,-7.66447258,255,184,0,-510,21
-254.4596252,111.9186478,-7.65944386,255,181,0,-510,21
-254.4402161,111.9683456,-7.67235899,255,187,0,-510,21
-254.4209137,112.0169144,-7.66648006,255,185,0,-510,21
-254.4019013,112.0646896,-7.66027832,255,182,0,-510,21
-254.3826141,112.1131592,-7.65356398,255,179,0,-510,21
-254.3629761,112.1633377,-7.66474724,255,184,0,-510,21
-254.3436585,112.2118225,-7.6571784,255,180,0,-510,21
-254.3246613,112.2595215,-7.64931393,255,177,0,-510,21
-254.3053742,112.3078842,-7.64091158,255,173,0,-510,21
-254.2855377,112.3584976,-7.65034151,255,177,0,-510,21
-254.2659454,112.4075928,-7.64093876,255,173,0,-510,21
-254.245697,112.459198,-7.6493144,255,177,0,-510,21
-254.2261047,112.5082779,-7.63902521,255,172,0,-510,21
-254.2057343,112.5601273,-7.6464715,255,175,0,-510,21
-254.1861267,112.6091766,-7.63529539,255,170,0,-510,21
-254.1668396,112.6574097,-7.62386417,255,165,0,-510,21
-254.1472931,112.7062759,-7.61183214,255,160,0,-510,21
-254.128067,112.7543259,-7.59955883,255,154,0,-510,21
-254.1069336,112.807991,-7.6043148,255,156,0,-510,21
-254.0860138,112.8610992,-7.60875607,255,158,0,-510,21
-254.064743,112.9150925,-7.61248302,255,160,0,-510,21
-254.0436707,112.9685288,-7.61590481,255,161,0,-510,21
-254.023819,113.0180359,-7.60091305,255,154,0,-510,21
-254.0042877,113.0666962,-7.5857091,255,148,0,-510,21
-253.9845123,113.1159592,-7.56984091,255,140,0,-510,21
-253.9650726,113.1643829,-7.55377531,255,133,0,-510,21
-253.9432983,113.2194595,-7.55428696,255,133,0,-510,21
-253.919632,113.280159,-7.57170582,255,141,0,-510,21
-253.8957672,113.3412552,-7.58847761,255,148,0,-510,21
-253.8717499,113.4027557,-7.60459471,255,156,0,-510,21
-253.8492889,113.4594803,-7.60246706,255,155,0,-510,21
-253.8249817,113.5216217,-7.61730385,255,162,0,-510,21
-253.8002319,113.584877,-7.63117027,255,169,0,-510,21
-253.7756043,113.6477737,-7.64465046,255,174,0,-510,21
-253.7524719,113.7060623,-7.63973808,255,172,0,-510,21
-253.7295685,113.7637177,-7.63454485,255,170,0,-510,21
-253.7063446,113.8221893,-7.6284318,255,167,0,-510,21
-253.6833496,113.8800125,-7.62204838,255,164,0,-510,21
-253.6548462,113.953331,-7.64805317,255,176,0,-510,21
-253.6263733,114.026535,-7.67352438,255,188,0,-510,21
-253.5973358,114.1010742,-7.69775009,255,199,0,-510,21
-253.5683594,114.1754684,-7.72144318,255,210,0,-510,21
-253.5465393,114.2293625,-7.69376993,255,198,0,-510,21
-253.5247955,114.2830277,-7.6655798,255,184,0,-510,21
-253.5031433,114.3364487,-7.63687563,255,171,0,-510,21
-253.4787293,114.3975601,-7.62400436,255,165,0,-510,21
-253.456604,114.4520798,-7.59337807,255,151,0,-510,21
-253.4319305,114.5138168,-7.57882357,255,144,0,-510,21
-253.4069367,114.5762787,-7.5631628,255,137,0,-510,21
-253.3822327,114.6380158,-7.54724026,255,130,0,-510,21
-253.3538208,114.7098007,-7.54569244,255,129,0,-510,21
-253.322113,114.7905884,-7.55911684,255,135,0,-510,21
-253.2901917,114.8718872,-7.57147598,255,141,0,-510,21
-253.2580566,114.9536896,-7.58275795,255,146,0,-510,21
-253.231781,115.0191193,-7.56079388,255,136,0,-510,21
-253.2024231,115.0930557,-7.55406046,255,133,0,-510,21
-253.1726685,115.1679153,-7.54588795,255,129,0,-510,21
-253.1431122,115.2422409,-7.53727102,255,125,0,-510,21
-253.1090393,115.3286133,-7.54134369,255,127,0,-510,21
-253.0747681,115.4154129,-7.54420471,255,128,0,-510,21
-253.0402985,115.5026474,-7.54584551,255,129,0,-510,21
-253.0019379,115.6003952,-7.56115723,255,136,0,-510,21
-252.9699402,115.680481,-7.54371119,255,128,0,-510,21
-252.9381867,115.7599411,-7.52575254,255,119,0,-510,21
-252.9060822,115.8402176,-7.50612068,255,110,0,-510,21
-252.8742065,115.9198608,-7.48599052,255,101,0,-510,21
-252.8254089,116.0448837,-7.52027607,255,117,0,-510,21
-252.7761231,116.1710434,-7.55244398,255,132,0,-510,21
-252.7263489,116.298317,-7.58247519,255,146,0,-510,21
-252.671936,116.4378738,-7.62432003,255,166,0,-510,21
-252.6242065,116.5589905,-7.63328838,255,169,0,-510,21
-252.5764465,116.6801453,-7.6408844,255,173,0,-510,21
-252.5280457,116.8027649,-7.64570045,255,175,0,-510,21
-252.4796295,116.9253616,-7.64914179,255,177,0,-510,21
-252.4341431,117.0396729,-7.63417864,255,170,0,-510,21
-252.3884888,117.1543579,-7.61726093,255,162,0,-510,21
-252.3426514,117.2693939,-7.59837818,255,154,0,-510,21
-252.2920227,117.397049,-7.59038496,255,150,0,-510,21
-252.2302551,117.5537491,-7.60144806,255,154,0,-510,21
-252.1680145,117.7115173,-7.60940981,255,158,0,-510,21
-252.1053162,117.8703003,-7.61424255,255,160,0,-510,21
-252.037323,118.0428925,-7.62815142,255,167,0,-510,21
-251.9620667,118.2340317,-7.64517355,255,175,0,-510,21
-251.8864594,118.4258575,-7.65896559,255,181,0,-510,21
-251.8099518,118.6197586,-7.66765022,255,186,0,-510,21
-251.7280731,118.8276062,-7.68461323,255,193,0,-510,21
-251.6379242,119.0563355,-7.70022249,255,201,0,-510,21
-251.5469971,119.2867355,-7.71038055,255,205,0,-510,21
-251.4553375,119.5187302,-7.71504068,255,207,0,-510,21
-251.3576813,119.7661591,-7.72489929,255,212,0,-510,21
-251.2510681,120.0359573,-7.72901154,255,214,0,-510,21
-251.1436157,120.3075638,-7.72604847,255,213,0,-510,21
-251.0353699,120.5808487,-7.71595478,255,208,0,-510,21
-250.9208221,120.8701706,-7.70853043,255,204,0,-510,21
